name,owner,stars,forks,language,url,releases,age_years
springboot-learning-example,JeffLi1993,16445,7125,Java,https://github.com/JeffLi1993/springboot-learning-example,0,0
caffeine,ben-manes,16409,1626,Java,https://github.com/ben-manes/caffeine,0,0
DataX,alibaba,16308,5510,Java,https://github.com/alibaba/DataX,0,0
BigData-Notes,heibaiying,16280,4274,Java,https://github.com/heibaiying/BigData-Notes,0,0
presto,prestodb,16275,5433,Java,https://github.com/prestodb/presto,0,0
Ehviewer_CN_SXJ,xiaojieonly,16252,442,Java,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,0,0
SpringBoot-Learning,dyc87112,15772,4880,Java,https://github.com/dyc87112/SpringBoot-Learning,0,0
VirtualXposed,android-hacker,15629,2505,Java,https://github.com/android-hacker/VirtualXposed,0,0
Android-CleanArchitecture,android10,15532,3314,Java,https://github.com/android10/Android-CleanArchitecture,0,0
tech-interview-for-developer,gyoogle,15523,3520,Java,https://github.com/gyoogle/tech-interview-for-developer,0,0
mockito,mockito,15086,2600,Java,https://github.com/mockito/mockito,0,0
questdb,questdb,14998,1219,Java,https://github.com/questdb/questdb,0,0
hadoop,apache,14997,9019,Java,https://github.com/apache/hadoop,0,0
bytecode-viewer,Konloch,14910,1172,Java,https://github.com/Konloch/bytecode-viewer,0,0
flink-learning,zhisheng17,14700,3926,Java,https://github.com/zhisheng17/flink-learning,0,0
CircleImageView,hdodenhof,14545,3117,Java,https://github.com/hdodenhof/CircleImageView,0,0
pulsar,apache,14506,3621,Java,https://github.com/apache/pulsar,0,0
QMUI_Android,Tencent,14475,2677,Java,https://github.com/Tencent/QMUI_Android,0,0
ARouter,alibaba,14473,2616,Java,https://github.com/alibaba/ARouter,0,0
vert.x,eclipse-vertx,14438,2087,Java,https://github.com/eclipse-vertx/vert.x,0,0
logstash,elastic,14390,3516,Java,https://github.com/elastic/logstash,0,0
jd-gui,java-decompiler,14381,2419,Java,https://github.com/java-decompiler/jd-gui,0,0
Arduino,arduino,14285,6996,Java,https://github.com/arduino/Arduino,0,0
quarkus,quarkusio,14238,2790,Java,https://github.com/quarkusio/quarkus,0,0
neo4j,neo4j,13991,2419,Java,https://github.com/neo4j/neo4j,0,0
supertokens-core,supertokens,13967,568,Java,https://github.com/supertokens/supertokens-core,0,0
deeplearning4j,deeplearning4j,13876,3845,Java,https://github.com/deeplearning4j/deeplearning4j,0,0
logger,orhanobut,13849,2140,Java,https://github.com/orhanobut/logger,0,0
jib,GoogleContainerTools,13839,1442,Java,https://github.com/GoogleContainerTools/jib,0,0
onedev,theonedev,13785,883,Java,https://github.com/theonedev/onedev,0,0
zuul,Netflix,13649,2408,Java,https://github.com/Netflix/zuul,0,0
druid,apache,13643,3732,Java,https://github.com/apache/druid,0,0
Luban,Curzibn,13629,2247,Java,https://github.com/Curzibn/Luban,0,0
spring-analysis,seaswalker,13609,4183,Java,https://github.com/seaswalker/spring-analysis,0,0
AndroidAutoSize,JessYanCoding,13593,1988,Java,https://github.com/JessYanCoding/AndroidAutoSize,0,0
pinpoint,pinpoint-apm,13548,3775,Java,https://github.com/pinpoint-apm/pinpoint,0,0
tink,tink-crypto,13524,1183,Java,https://github.com/tink-crypto/tink,0,0
Material-Animations,lgvalle,13513,2471,Java,https://github.com/lgvalle/Material-Animations,0,0
Android-PickerView,Bigkoo,13470,3457,Java,https://github.com/Bigkoo/Android-PickerView,0,0
piggymetrics,sqshq,13424,6198,Java,https://github.com/sqshq/piggymetrics,0,0
PictureSelector,LuckSiege,13408,3036,Java,https://github.com/LuckSiege/PictureSelector,0,0
doris,apache,13361,3384,Java,https://github.com/apache/doris,0,0
zaproxy,zaproxy,13357,2342,Java,https://github.com/zaproxy/zaproxy,0,0
dolphinscheduler,apache,13338,4734,Java,https://github.com/apache/dolphinscheduler,0,0
mit-deep-learning-book-pdf,janishar,13214,2773,Java,https://github.com/janishar/mit-deep-learning-book-pdf,0,0
Java,DuGuQiuBai,13213,5095,Java,https://github.com/DuGuQiuBai/Java,0,0
mall-learning,macrozheng,13093,8330,Java,https://github.com/macrozheng/mall-learning,0,0
lombok,projectlombok,13068,2425,Java,https://github.com/projectlombok/lombok,0,0
banner,youth5201314,12976,2523,Java,https://github.com/youth5201314/banner,0,0
languagetool,languagetool-org,12915,1420,Java,https://github.com/languagetool-org/languagetool,0,0
conductor,Netflix,12793,2338,Java,https://github.com/Netflix/conductor,0,0
stetho,facebook,12694,1128,Java,https://github.com/facebook/stetho,0,0
greenDAO,greenrobot,12625,2887,Java,https://github.com/greenrobot/greenDAO,0,0
dex2jar,pxb1988,12594,2147,Java,https://github.com/pxb1988/dex2jar,0,0
guice,google,12582,1670,Java,https://github.com/google/guice,0,0
cryptomator,cryptomator,12563,1081,Java,https://github.com/cryptomator/cryptomator,0,0
Matisse,zhihu,12548,2063,Java,https://github.com/zhihu/Matisse,0,0
eureka,Netflix,12511,3762,Java,https://github.com/Netflix/eureka,0,0
spring-boot-admin,codecentric,12508,3082,Java,https://github.com/codecentric/spring-boot-admin,0,0
AndroidViewAnimations,daimajia,12452,2425,Java,https://github.com/daimajia/AndroidViewAnimations,0,0
zookeeper,apache,12421,7269,Java,https://github.com/apache/zookeeper,0,0
AndroidSwipeLayout,daimajia,12400,2669,Java,https://github.com/daimajia/AndroidSwipeLayout,0,0
COLA,alibaba,12292,3138,Java,https://github.com/alibaba/COLA,0,0
Mybatis-PageHelper,pagehelper,12282,3135,Java,https://github.com/pagehelper/Mybatis-PageHelper,0,0
mall-swarm,macrozheng,12208,5354,Java,https://github.com/macrozheng/mall-swarm,0,0
jedis,redis,11998,3882,Java,https://github.com/redis/jedis,0,0
kkFileView,kekingcn,11976,2883,Java,https://github.com/kekingcn/kkFileView,0,0
uCrop,Yalantis,11961,2192,Java,https://github.com/Yalantis/uCrop,0,0
metersphere,metersphere,11907,2647,Java,https://github.com/metersphere/metersphere,0,0
VasSonic,Tencent,11851,1616,Java,https://github.com/Tencent/VasSonic,0,0
matrix,Tencent,11768,1893,Java,https://github.com/Tencent/matrix,0,0
android-interview-questions,amitshekhariitbhu,11723,2299,Java,https://github.com/amitshekhariitbhu/android-interview-questions,0,0
grpc-java,grpc,11650,3885,Java,https://github.com/grpc/grpc-java,0,0
fullstack-tutorial,frank-lam,11629,2441,Java,https://github.com/frank-lam/fullstack-tutorial,0,0
webmagic,code4craft,11521,4175,Java,https://github.com/code4craft/webmagic,0,0
realm-java,realm,11485,1754,Java,https://github.com/realm/realm-java,0,0
CtCI-6th-Edition,careercup,11402,4419,Java,https://github.com/careercup/CtCI-6th-Edition,0,0
ImmersionBar,gyf-dev,11376,1903,Java,https://github.com/gyf-dev/ImmersionBar,0,0
xManager,Team-xManager,11290,305,Java,https://github.com/Team-xManager/xManager,0,0
newbee-mall,newbee-ltd,11267,2727,Java,https://github.com/newbee-ltd/newbee-mall,0,0
PermissionsDispatcher,permissions-dispatcher,11228,1438,Java,https://github.com/permissions-dispatcher/PermissionsDispatcher,0,0
OpenRefine,OpenRefine,11210,2033,Java,https://github.com/OpenRefine/OpenRefine,0,0
debezium,debezium,11205,2622,Java,https://github.com/debezium/debezium,0,0
plantuml,plantuml,11158,1018,Java,https://github.com/plantuml/plantuml,0,0
interview,mission-peace,11139,5172,Java,https://github.com/mission-peace/interview,0,0
FlycoTabLayout,H07000223,11089,2415,Java,https://github.com/H07000223/FlycoTabLayout,0,0
jsoup,jhy,11087,2222,Java,https://github.com/jhy/jsoup,0,0
FileDownloader,lingochamp,11079,2208,Java,https://github.com/lingochamp/FileDownloader,0,0
SlidingMenu,jfeinstein10,11061,5026,Java,https://github.com/jfeinstein10/SlidingMenu,0,0
androidannotations,androidannotations,11044,2343,Java,https://github.com/androidannotations/androidannotations,0,0
cas,apereo,11042,3948,Java,https://github.com/apereo/cas,0,0
SmarterStreaming,daniulive,11023,2759,Java,https://github.com/daniulive/SmarterStreaming,0,0
trino,trinodb,11014,3134,Java,https://github.com/trinodb/trino,0,0
javapoet,square,10858,1387,Java,https://github.com/square/javapoet,0,0
vlayout,alibaba,10790,1792,Java,https://github.com/alibaba/vlayout,0,0
platform_frameworks_base,aosp-mirror,10707,6317,Java,https://github.com/aosp-mirror/platform_frameworks_base,0,0
jvm,doocs,10664,2289,Java,https://github.com/doocs/jvm,0,0
Paper,PaperMC,10650,2467,Java,https://github.com/PaperMC/Paper,0,0
android-async-http,android-async-http,10632,4084,Java,https://github.com/android-async-http/android-async-http,0,0
Java-WebSocket,TooTallNate,10625,2591,Java,https://github.com/TooTallNate/Java-WebSocket,0,0
okhttp-OkGo,jeasonlzy,10611,2554,Java,https://github.com/jeasonlzy/okhttp-OkGo,0,0
clojure,clojure,10577,1470,Java,https://github.com/clojure/clojure,0,0
